GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
6037137104,31.7,0.00,29.03,10.3
6037137202,46.9,1.21,61.99,13.6
6037137203,55,4.92,46.13,9.6
6037137301,24.1,0.88,36.36,1.5
6037137302,28.9,0.48,29.45,8.8
6037137401,32.7,4.65,34.89,8.6
6037137402,42.6,0.00,50.34,3.3
6037137501,41.4,1.21,61.42,14.7
6037137502,38.7,0.79,51.97,3.4
6037137504,37.6,0.00,0,3.7
6037138000,19.8,0.00,67.14,3.3
6037139001,30.2,2.48,36.15,8.5
6037139200,29.7,0.00,68.67,7.4
6037139301,39,0.00,62.28,5.5
6037139302,69.4,6.13,52.66,17.1
6037139303,48.7,5.16,58.91,7
6037139401,37,0.73,60.77,6.7
6037139402,27.6,0.00,66,11.3
6037139502,27,4.10,58.85,5.6
6037139504,23.3,5.31,66.2,15.4
6037139505,43.6,1.12,78.8,21.1
6037139506,27.4,1.37,73.77,5.5
6037139600,18.7,0.00,50.94,6.9
6037139701,12.4,1.35,42.28,12.2
6037139703,18.1,0.00,62.5,2.4
6037139704,14.4,0.00,86.74,6.8
6037139705,21.6,1.01,57.69,2
6037139801,18.7,0.00,100,6.5
6037139802,25.7,2.36,37.27,3.8
6037141101,38.3,0.95,56.82,7.2
6037141102,37.6,0.00,52.34,6.9
6037141201,47.6,0.60,44.35,9.7
6037141202,28.1,0.00,49.14,6.3
6037141303,38.8,0.87,55.61,15
6037141304,23.9,2.26,54.19,10.7
6037141305,43.6,1.56,47.31,9.9
6037141306,31.7,3.83,57.16,1.6
6037141400,35.9,1.97,70.95,8.9
6037141500,21.8,0.00,0,2.7
6037141600,26.2,0.00,70.21,6.2
6037141700,14.7,0.00,34.88,1.3
6037143101,30.7,0.00,55.15,2.5
6037143102,37,1.00,54.28,7.4
6037143200,49.8,4.30,70.58,7.9
6037143301,36,0.55,55.63,7.5
6037143302,30.3,1.85,51.76,6.7
6037143401,36.2,1.74,53.47,7.5
6037143402,17.2,0.00,40.72,1.7
6037143500,24.5,2.41,46.05,3.7
6037143602,25.5,3.33,55.11,12.8
6037143603,41.5,0.94,63.34,10.1
6037143605,46.5,2.22,56.01,10.1
6037143606,42.6,6.78,41.62,11.1
6037143700,24.1,0.00,53.46,6.4
6037143801,43,0.82,30.2,7.6
6037143802,25.4,0.00,48.49,6
6037143901,22.4,0.00,54.19,3.2
6037143902,36.7,0.67,39.37,10.3
6037181000,54.8,1.99,39.31,8.2
6037181300,70.2,2.81,49.76,6.6
6037181400,70.6,4.35,30.18,7
6037181500,69.8,1.97,70.56,14.2
6037181600,69.3,2.16,51.85,4.6
6037183101,68.8,0.00,52.12,16.8
6037183103,73.2,10.14,37.74,8.7
6037183104,71.9,3.27,38.19,10.6
6037183220,73.2,2.76,35.94,6.8
6037183221,75,8.78,72.81,10.4
6037183222,59.2,3.99,33.89,11.1
6037183300,80.1,5.31,45.31,8
6037183401,81.6,5.20,61.56,12.3
6037183402,72.3,4.15,48.61,11.5
6037183510,79.7,6.46,56.71,5.8
6037183520,86.7,12.59,54.18,14
6037183610,78.5,6.20,61.68,17.4
6037183620,76.2,3.64,49.74,12.8
6037183701,79.5,11.36,56.97,14.2
6037183702,77.8,1.12,44.78,4.1
6037183810,81.2,6.88,54.02,21
6037183820,90.2,8.24,36.69,8.6
6037185101,61.6,5.44,46.03,2.9
6037185102,40.8,1.60,73.53,8.7
6037185202,56.6,5.24,55.09,6.8
6037185203,86.1,9.61,44.11,13.2
6037185204,62.8,3.88,35.94,15.1
6037185310,91,10.65,43.39,20
6037185320,90.7,10.88,47.97,23.2
6037186100,63.9,0.76,46.25,4.9
6037186201,74.5,1.96,53.18,11.5
6037186202,77,7.51,51.16,14.1
6037186203,49.1,0.00,40.23,8.7
6037186301,81.2,7.92,65.05,19.9
6037186302,60.3,1.17,51.2,6.5
6037186401,95.2,8.78,50.98,22.1
6037186403,85.5,2.73,32.43,9
6037186404,77.8,6.33,56.9,25.7
6037187101,66.2,3.47,57.59,5.9
6037187102,83.3,1.09,63.59,20.4
6037187200,74.1,1.72,57.75,8.9
6037187300,46.2,0.35,49.67,7.7
6037188100,57.5,1.42,53.67,14.9
6037188201,37.3,1.13,49.92,12.8
6037188202,49.5,1.95,60.34,6.5
6037188300,59.6,8.59,27.59,5.4
6037189101,29.7,6.53,46.9,7.7
6037189102,30.8,4.01,43.58,7
6037189201,36.4,10.77,44.34,16.8
6037189202,29.4,1.82,36.61,5.5
6037189300,34.1,0.97,39.02,12.9
6037189400,26.8,1.93,52.52,9.8
6037189501,23.6,3.47,49.3,11.5
6037189502,41.5,15.47,60.66,21.8
6037189600,33.3,4.64,53.27,9.2
6037189702,28.3,1.49,54.92,8.6
6037189703,49.4,0.97,68.62,7.4
6037189704,36.8,7.19,54.51,13.7
6037189801,28.2,0.00,49.21,5.9
6037189802,39.5,1.14,42.58,14.3
6037189903,29.6,0.66,55.59,6.8
6037189904,43.5,9.10,67.15,22.1
6037189905,40.6,1.73,56.31,14.4
6037189906,45.1,7.85,53.66,12.4
6037189907,45.4,2.02,45.88,6.9
6037190101,51.1,17.51,60.5,31
6037190102,49.4,2.50,52.7,13
6037190201,73.6,20.47,57.56,13.3
6037190202,58.2,9.82,58.85,23.6
6037190302,49.3,2.55,49.32,14.1
6037190303,39.5,19.12,53.4,23
6037190401,47.3,11.83,54.69,10
6037190402,46.2,20.61,47.47,17
6037190510,67.7,19.66,59.01,31.3
6037190520,64,12.17,52.73,22
6037190701,60.6,17.81,42.42,28.5
6037190702,52.3,7.84,60,9.9
6037190801,66.8,9.24,49.72,27.7
6037190802,65.9,4.47,53.84,20.6
6037190901,81.3,27.44,50.29,29.9
6037190902,76.8,19.16,46.24,16.4
6037191000,63.2,7.64,56.28,12.7
6037191110,44.2,17.42,58.54,41.8
6037191120,72,19.69,63.21,16.9
6037191201,49.2,4.61,60.85,25.6
6037191203,75.6,29.29,56.98,34.8
6037191204,75.1,16.28,41.4,20
6037191301,73.7,11.97,47.38,19.6
6037191302,66.7,12.78,47.13,12.3
6037191410,83.9,30.93,53.25,27.5
6037191420,82.3,13.64,64.53,12.4
6037191500,79.4,14.52,46.55,21.8
6037191610,79.7,19.11,70.77,21.4
6037191620,81.2,19.53,56.15,24.9
6037191710,82.9,15.23,66.37,30.2
6037191720,90.6,28.94,52.22,15.6
6037191810,77.1,11.37,61.23,10.4
6037191820,48,4.89,56.12,13
6037191901,50.4,9.65,50.08,19.7
6037191902,32.3,1.76,64.97,13.2
6037192001,35.4,2.69,56.92,18.3
6037192002,22.1,1.85,43.73,8.8
6037192300,43.3,2.92,66.01,12.2
6037192410,46.3,4.48,39.74,6.4
6037192420,85.5,9.99,59.05,16.2
6037192510,95.5,20.02,62.94,19
6037192520,91.2,10.72,60.38,21.4
6037192610,84,15.78,69.55,26
6037192620,92.8,23.87,57.08,27.3
6037192700,75.8,16.89,54.79,18.9
6037194101,35.5,5.34,63.61,8.4
